|Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|Unnamed: 0.1.1.1|Unnamed: 0.1.1.1.1|Unnamed: 0.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1.1|Model|Release date|Max resolution|Low resolution|Effective pixels|Zoom wide (W)|Zoom tele (T)|Normal focus range|Macro focus range|Storage included|Weight (inc. batteries)|Dimensions|Price
0|0|0|0|0|0|0|0|0|Allez au boulot ! :)|0|Agfa ePhoto 1280|1997.0|1024.0|640.0|0.0|38.0|114.0|70.0|40.0|4.0|420.0|95.0|179.0
1|1|1|1|1|1|1|1|1|Allez au boulot ! :)|1|Agfa ePhoto 1680|1998.0|1280.0|640.0|1.0|None|114.0|50.0|0.0|4.0|420.0|158.0|179.0
2|2|2|2|2|2|2|2|2|2|2|Agfa ePhoto CL18|2000.0|640.0|0.0|0.0|45.0|45.0|0.0||2.0|0.0|0.0|179.0
3|3|3|3|3|3|3|3|3|3|3|ù*ùfsfsf///|1999.0|1152.0|640.0|0.0|35.0|35.0|0.0|0.0|4.0|0.0|0.0|269.0
4|4|4|4|4|4|4|4|4|4|4|Agfa ePhoto CL30 Clik!|1999.0|1152.0|640.0|0.0|43.0|43.0|50.0|0.0|40.0|300.0|128.0|1299.0
5|5|5|5|5|5|5|5|5|5|5|Agfa ePhoto CL45|2001.0|1600.0|None|1.0|51.0|51.0|50.0|20.0|8.0|270.0|119.0|179.0
6|6|6|6|6|6|6|6|Allez au boulot ! :)|6|6|Agfa ePhoto CL50|1999.0|None|640.0|1.0|34.0|102.0|0.0|0.0|8.0|0.0|0.0|179.0
7|7|7|7|7|7|7|Allez au boulot ! :)|7|7|7|Canon PowerShot 350|1997.0|None|0.0|0.0||42.0|70.0|3.0|2.0|320.0|93.0|149.0
8|8|8|8|8|8|8|8|8|8|8|Canon PowerShot 600|1996.0|832.0|640.0|0.0|50.0|50.0|40.0|10.0|1.0|460.0|160.0|139.0
9|9|9|9|9|9|9|Allez au boulot ! :)|9|9|9|Canon PowerShot A10|2001.0|1280.0|1024.0|1.0|35.0|105.0|76.0|16.0|8.0|375.0|110.0|139.0
10|10|10|10|10|10|10|10|10|Allez au boulot ! :)|10|Canon PowerShot A100|2002.0|ù*ùfsfsf///|1024.0|hello|39.0|39.0|20.0|5.0|8.0|225.0|110.0|139.0
11|11|11|11|11|11|11|11|Allez au boulot ! :)|11|11|ù*ùfsfsf///|2001.0|1600.0|1024.0|1.0|35.0|105.0|76.0|16.0|8.0|375.0|110.0|139.0
12|12|12|12|12|12|12|12|12|12|12|Canon PowerShot A200|2002.0|1600.0|1024.0|1.0|39.0|39.0|20.0|5.0|8.0|225.0|110.0|139.0
13|13|13|13|13|13|55555555555|13|13|13|Allez au boulot ! :)|Canon PowerShot A30|2002.0|None|1024.0|1.0|35.0|105.0|76.0|16.0|8.0|350.0|110.0|139.0
14|14|14|14|14|14|14|14|14|55555555555|14|Canon PowerShot A300|2003.0|2048.0|1600.0|hello|33.0|33.0|20.0|5.0|32.0|225.0|111.0|139.0
15|15|15|15|15|15|15|15|15|15|15|Canon PowerShot A310|2004.0|2048.0|1600.0||33.0|33.0|0.0|5.0|0.0|205.0|110.0|139.0
16|16|16|16|16|16|16|16|16|55555555555|16|Canon PowerShot A40|2002.0|1600.0|hello|1.0|35.0|105.0|76.0|16.0|8.0|350.0|110.0|139.0
17|17|17|17|17|17|Allez au boulot ! :)|17|Allez au boulot ! :)|17|17|Canon PowerShot A400|2004.0|2048.0|1600.0|3.0|45.0|100.0|0.0|5.0|16.0|255.0|107.0|139.0
18|18|18|18|18|18|18|18|18|18|18|Canon PowerShot A410|2005.0|2048.0|1600.0|3.0||131.0|0.0|1.0|16.0|195.0|103.0|139.0
19|19|19|19|19|19|19|Allez au boulot ! :)|19|19|19|Canon PowerShot A420|2006.0|2272.0|None|4.0|39.0|125.0|47.0|1.0|16.0|200.0|103.0|139.0
20|20|20|20|20|20|Allez au boulot ! :)|20|20|20|20|Canon PowerShot A430|2006.0|2272.0|1600.0|4.0||156.0|47.0|1.0|16.0|210.0|103.0|139.0
21|21|21|21|21|21|21|55555555555|21|21|21|Canon PowerShot A450|2007.0|2592.0|hello|5.0|38.0|122.0|47.0|1.0|16.0|215.0|106.0|139.0
22|22|22|22|22|Allez au boulot ! :)|Allez au boulot ! :)|22|22|22|22|Canon PowerShot A460|2007.0|2592.0|2048.0|5.0|38.0|152.0|47.0|1.0|16.0|215.0|106.0|139.0
23|23|23|23|23|23|23|23|23|23|23|Canon PowerShot A5|1998.0|1024.0|512.0|0.0|35.0|35.0|50.0|9.0|8.0|240.0|105.0|149.0
24|24|24|24|24|Allez au boulot ! :)|24|24|24|24|24|Canon PowerShot A50|hello|1280.0|640.0|1.0||ù*ùfsfsf///|50.0|17.0|8.0|290.0|103.0|149.0
25|25|25|25|25|25|Allez au boulot ! :)|25|25|25|25|Canon PowerShot A510|2005.0|None|1600.0||35.0|140.0|0.0|5.0|16.0|230.0|91.0|139.0
26|26|26|26|26|26|26|26|26|26|26|Canon PowerShot A520|2005.0||1600.0|3.0|35.0|140.0|0.0||hello|230.0|91.0|149.0
27|27|27|27|27|27|27|27|Allez au boulot ! :)|27|27|Canon PowerShot A530|2006.0|2592.0|2048.0|5.0|None|140.0|45.0||16.0|220.0|90.0|149.0
28|28|28|28|28|28|28|28|28|28|28|Canon PowerShot A540|2006.0|None|2272.0|6.0|35.0|140.0|45.0|5.0|16.0|230.0|90.0|149.0
29|29|29|29|29|29|29|29|29|29|29|Canon PowerShot A550|2007.0|3072.0|2592.0|7.0|35.0|140.0|45.0|5.0|16.0|210.0|91.0|149.0
30|30|30|30|30|30|30|30|30|30|30|Canon PowerShot A560|2007.0|None|None|7.0|35.0|ù*ùfsfsf///|45.0|5.0|16.0|205.0|91.0|149.0
31|31|31|31|31|31|31|31|courage!!!|55555555555|31|Canon PowerShot A570 IS|2007.0|3072.0|2592.0|7.0|35.0|140.0|45.0|5.0|16.0|215.0|90.0|149.0
32|32|32|32|32|32|32|32|32|courage!!!|32|Canon PowerShot A5 Zoom||1024.0|hello|0.0|28.0|70.0|50.0|17.0|8.0|290.0|103.0|149.0
33|33|33|33|33|33|33|33|33|33|33|Canon PowerShot A60|2003.0|1600.0|1024.0|1.0|35.0|105.0|46.0|5.0|hello|315.0|101.0|139.0
34|34|34|34|34|34|Allez au boulot ! :)|34|34|34|34|Allez au boulot ! :)|2005.0|2592.0|2592.0|5.0|35.0|140.0|0.0|1.0|16.0|285.0|105.0|139.0
35|35|35|35|35|35|35|35|35|Allez au boulot ! :)|35|ù*ùfsfsf///||3072.0|3072.0|7.0|35.0|140.0|0.0|1.0|32.0|285.0|105.0|139.0
36|36|36|36|36|36|36|36|courage!!!|Allez au boulot ! :)|Allez au boulot ! :)|Canon PowerShot A630|2006.0|3264.0|2592.0|8.0|35.0|140.0|0.0|1.0|16.0|315.0|109.0|139.0
37|37|37|37|37|37|37|37|37|Allez au boulot ! :)|37|Canon PowerShot A640|2006.0|3648.0|2816.0||35.0|140.0|0.0|1.0|32.0|315.0|109.0|139.0
38|38|38|38|38|38|38|38|38|38|38|Canon PowerShot A650 IS|2007.0|4000.0|3264.0|12.0|35.0|210.0|0.0|1.0|32.0|300.0|97.0|399.0
39|39|39|39|39|Allez au boulot ! :)|39|39|39|39|39|Canon PowerShot A70|2003.0|2048.0|hello||35.0|105.0|46.0|5.0|16.0|315.0|101.0|139.0
40|40|40|40|40|40|40|40|40|40|40|Canon PowerShot A700|2006.0|2816.0|2272.0|6.0|35.0|210.0|55.0|1.0|16.0|250.0|94.0|139.0
41|41|41|41|41|41|41|Allez au boulot ! :)|41|41|41|Canon PowerShot A710 IS|2006.0|3072.0|2592.0|7.0|35.0|210.0|55.0|1.0|16.0|210.0|98.0|139.0
42|42|42|42|42|42|42|42|42|Allez au boulot ! :)|42|Canon PowerShot A720 IS|2007.0|3264.0|2592.0|8.0|35.0|210.0|55.0|1.0|16.0|250.0|97.0|399.0
